SRNumber,CreatedDate,UpdatedDate,ActionTaken,Owner,RequestType,Status,RequestSource,MobileOS,Anonymous,AssignTo,ServiceDate,ClosedDate,AddressVerified,ApproximateAddress,Address,HouseNumber,Direction,StreetName,Suffix,ZipCode,Latitude,Longitude,Location,TBMPage,TBMColumn,TBMRow,APC,CD,CDMember,NC,NCName,PolicePrecinct
1-423390884,1/13/2017 4:26:23 PM,1/25/2017 5:07:07 PM,SR Created,OCB,Graffiti Removal,Cancelled,Mobile App,iOS,N,CCAC,1/25/2017 5:07:10 PM,,Y,N,"1310 N LIBERTY ST, 90026",1310,N,LIBERTY,ST,90026,34.0789528303,-118.261170101,"(34.0789528303, -118.261170101)",594,E,7,East Los Angeles APC,13,Mitch O'Farrell,44,GREATER ECHO PARK ELYSIAN NC,NORTHEAST
1-445254361,2/3/2017 1:25:15 PM,2/9/2017 3:28:56 PM,SR Created,BOS,Bulky Items,Closed,Call,"",N,EV,2/9/2017 12:00:00 AM,,Y,N,"8030 N LANGDON AVE, 91406",8030,N,LANGDON,AVE,91406,34.2165804138,-118.468058144,"(34.2165804138, -118.468058144)",531,G,2,South Valley APC,6,Nury Martinez,112,NORTH HILLS EAST,MISSION
1-432109577,1/23/2017 4:08:44 PM,1/23/2017 4:08:44 PM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,SLABT,12/28/2016 12:00:00 AM,,Y,"","2518 S BROADWAY, 90007",2518,S,BROADWAY,"",90007,,,"",634,D,7,South Los Angeles APC,9,Curren D. Price Jr.,78,SOUTH CENTRAL NC,NEWTON
1-450464378,2/9/2017 9:51:12 AM,2/9/2017 9:51:12 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,LACC,2/8/2017 12:00:00 AM,,Y,"","3790 S WESTERN AVE, 90018",3790,S,WESTERN,AVE,90018,,,"",673,H,2,South Los Angeles APC,8,Marqueece Harris-Dawson,77,EMPOWERMENT CONGRESS NORTH AREA NDC,SOUTHWEST
1-435385881,1/26/2017 11:42:56 AM,1/26/2017 11:43:39 AM,SR Created,BOS,Bulky Items,Closed,Call,"",Y,EV,2/2/2017 12:00:00 AM,,Y,N,"8805 N ORION AVE, 91343",8805,N,ORION,AVE,91343,34.2301302329,-118.47223516,"(34.2301302329, -118.47223516)",531,G,1,North Valley APC,6,Nury Martinez,112,NORTH HILLS EAST,MISSION
1-436467481,1/27/2017 10:37:12 AM,1/29/2017 2:57:05 PM,SR Created,OCB,Graffiti Removal,Closed,Call,"",N,LACC,1/29/2017 2:57:12 PM,,Y,N,"1200 W MARTIN LUTHER KING, JR BLVD, 90037",1200,W,"MARTIN LUTHER KING, JR",BLVD,90037,34.010758448,-118.296013236,"(34.010758448, -118.296013236)",674,A,2,South Los Angeles APC,9,Curren D. Price Jr.,109,VOICES OF 90037,SOUTHWEST
1-445091855,2/3/2017 11:47:21 AM,2/10/2017 6:09:08 PM,SR Created,BOS,Bulky Items,Closed,Mobile App,iOS,Y,NC,2/10/2017 12:00:00 AM,,Y,"","412 N CORONADO TER, 90026",412,N,CORONADO,TER,90026,34.0724623962,-118.271880889,"(34.0724623962, -118.271880889)",634,C,1,East Los Angeles APC,13,Mitch O'Farrell,44,GREATER ECHO PARK ELYSIAN NC,RAMPART
1-455158189,2/14/2017 11:10:49 AM,2/14/2017 11:10:49 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,GAPBH,1/27/2017 12:00:00 AM,,Y,"","401 E WASHINGTON BLVD, 90015",401,E,WASHINGTON,BLVD,90015,,,"",634,E,7,South Los Angeles APC,14,Jose Huizar,52,DOWNTOWN LOS ANGELES,NEWTON
1-432808004,1/24/2017 11:27:28 AM,1/25/2017 8:38:01 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,SLABT,12/24/2016 12:00:00 AM,,Y,"","112 E 43RD ST, 90011",,E,43RD,ST,90011,,,"",674,C,3,South Los Angeles APC,9,Curren D. Price Jr.,125,ZAPATA KING NC,NEWTON
1-429704231,1/20/2017 11:22:25 AM,1/23/2017 4:34:17 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,"",N,SLA,1/27/2017 12:00:00 AM,,Y,N,"247 W 90TH ST, 90003",247,W,90TH,ST,90003,33.9546974101,-118.277578837,"(33.9546974101, -118.277578837)",704,C,3,South Los Angeles APC,8,Marqueece Harris-Dawson,87,EMPOWERMENT CONGRESS SOUTHEAST AREA NDC,SOUTHEAST
1-439702671,1/30/2017 3:03:14 PM,1/30/2017 3:04:45 PM,SR Created,BOS,Bulky Items,Closed,Driver Self Report,"",Y,HB,2/1/2017 12:00:00 AM,,Y,N,"222 W 16TH ST, 90731",222,W,16TH,ST,90731,33.729751413,-118.281964242,"(33.729751413, -118.281964242)",824,C,6,Harbor APC,15,Joe Buscaino,96,COASTAL SAN PEDRO NC,HARBOR
1-423937381,1/15/2017 9:47:20 AM,1/16/2017 12:28:21 PM,SR Created,BOS,Bulky Items,Closed,Call,"",N,NC,1/16/2017 12:00:00 AM,,Y,N,"3721 E ROLLE ST, 90031",3721,E,ROLLE,ST,90031,34.0835425122,-118.199564949,"(34.0835425122, -118.199564949)",595,C,6,East Los Angeles APC,1,Gilbert Cedillo,47,LINCOLN HEIGHTS NC,HOLLENBECK
1-411490916,1/2/2017 1:03:26 PM,1/6/2017 2:52:15 PM,SR Created,BOS,Homeless Encampment,Closed,Mobile App,iOS,N,EV,1/6/2017 12:00:00 AM,,Y,"","15560 W SATICOY ST, 91406",15560,W,SATICOY,ST,91406,34.2081379959,-118.472638322,"(34.2081379959, -118.472638322)",531,G,4,South Valley APC,6,Nury Martinez,20,VAN NUYS NC,VAN NUYS
1-442704708,2/1/2017 2:11:52 PM,2/2/2017 9:50:21 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Android,N,WVA,2/2/2017 10:23:03 AM,,Y,N,"7127 N BALBOA BLVD, 91406",7127,N,BALBOA,BLVD,91406,34.2002814571,-118.501362778,"(34.2002814571, -118.501362778)",531,D,5,South Valley APC,6,Nury Martinez,19,LAKE BALBOA NC,WEST VALLEY
1-445852072,2/4/2017 10:44:28 AM,2/4/2017 10:44:28 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,HBT,2/2/2017 12:00:00 AM,,Y,"","1175 N VERMONT AVE, 90029",1175,N,VERMONT,AVE,90029,,,"",594,A,5,Central APC,13,Mitch O'Farrell,34,EAST HOLLYWOOD NC,NORTHEAST
1-426750591,1/18/2017 8:32:30 AM,1/23/2017 7:53:11 PM,SR Created,OCB,Graffiti Removal,Closed,Self Service,"",N,WVA,1/23/2017 10:00:18 AM,,Y,N,"SESNON BLVD AT CLASSICS DR, 91344",,"","","",91344,34.2984400961,-118.527371039,"(34.2984400961, -118.527371039)",481,A,5,North Valley APC,12,Mitchell Englander,4,GRANADA HILLS NORTH NC,DEVONSHIRE
1-449498207,2/8/2017 12:41:13 PM,2/8/2017 12:41:13 PM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,SLABT,1/24/2017 12:00:00 AM,,Y,"","4176 S VERMONT AVE, 90037",4176,S,VERMONT,AVE,90037,,,"",674,A,3,South Los Angeles APC,9,Curren D. Price Jr.,109,VOICES OF 90037,SOUTHWEST
1-454428301,2/13/2017 3:50:20 PM,2/14/2017 8:04:14 PM,SR Created,BOS,Bulky Items,Closed,Call,"",N,WV,2/14/2017 12:00:00 AM,,Y,N,"21105 W LEMARSH ST, 91311",21105,W,LEMARSH,ST,91311,34.2555018004,-118.593403737,"(34.2555018004, -118.593403737)",500,B,4,North Valley APC,12,Mitchell Englander,99,CHATSWORTH NC,DEVONSHIRE
1-453613075,2/13/2017 10:02:09 AM,2/13/2017 10:02:09 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,KYCC,12/9/2016 12:00:00 AM,,Y,"","3834 W 8TH ST, 90005",3834,W,8TH,ST,90005,,,"",633,H,3,Central APC,4,David Ryu,119,GREATER WILSHIRE NC,OLYMPIC
1-420842361,1/11/2017 1:13:57 PM,1/13/2017 11:34:18 AM,SR Created,BOS,Bulky Items,Closed,Call,"",N,SLA,1/13/2017 12:00:00 AM,,Y,N,"137 W 84TH ST, 90003",137,W,84TH,ST,90003,33.9633601632,-118.275322799,"(33.9633601632, -118.275322799)",704,C,2,South Los Angeles APC,9,Curren D. Price Jr.,86,COMMUNITY AND NEIGHBORS FOR NINTH DISTRICT UNITY (CANNDU),77TH STREET
1-455080661,2/14/2017 10:26:09 AM,2/14/2017 10:26:09 AM,SR Created,BOS,Bulky Items,Open,Call,"",N,WLA,2/16/2017 12:00:00 AM,,Y,N,"312 N GARDNER ST, 90036",312,N,GARDNER,ST,90036,34.0766751545,-118.353127403,"(34.0766751545, -118.353127403)",593,C,7,Central APC,5,Paul Koretz,58,MID CITY WEST CC,WILSHIRE
1-453246044,2/12/2017 10:10:49 PM,2/12/2017 10:10:51 PM,SR Created,OCB,Graffiti Removal,Open,Mobile App,iOS,Y,GAPBH,,,Y,"","2500 WHITTIER BLVD, 90023",2500,"",WHITTIER,BLVD,90023,34.033451592,-118.213930287,"(34.033451592, -118.213930287)",635,A,6,East Los Angeles APC,14,Jose Huizar,50,BOYLE HEIGHTS NC,HOLLENBECK
1-452525461,2/10/2017 9:33:43 PM,2/14/2017 3:46:22 PM,SR Created,OCB,Graffiti Removal,Open,Self Service,"",Y,NDFY,2/14/2017 3:46:20 PM,,Y,N,"CHANDLER BLVD AT CAMELLIA AVE, 91601",,"","","",91601,34.1686625816,-118.382271551,"(34.1686625816, -118.382271551)",562,H,2,South Valley APC,2,Paul Krekorian,24,MID-TOWN NORTH HOLLYWOOD NC,NORTH HOLLYWOOD
1-441171111,1/31/2017 2:19:01 PM,2/3/2017 3:27:34 PM,SR Created,BOS,Bulky Items,Closed,Call,"",N,EV,2/3/2017 12:00:00 AM,,Y,N,"12563 N RALSTON AVE, 91342",12563,N,RALSTON,AVE,91342,34.2984118812,-118.454325292,"(34.2984118812, -118.454325292)",481,J,5,North Valley APC,7,Vacant,5,SYLMAR NC,MISSION
1-428493475,1/19/2017 12:23:39 PM,1/19/2017 12:23:39 PM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,SLABT,12/21/2016 12:00:00 AM,,Y,"","4319 S HOOVER ST, 90037",4319,S,HOOVER,ST,90037,,,"",674,B,3,South Los Angeles APC,9,Curren D. Price Jr.,109,VOICES OF 90037,SOUTHWEST
1-433343154,1/24/2017 3:42:14 PM,1/24/2017 3:42:14 PM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,SLABT,12/29/2016 12:00:00 AM,,Y,"","6227 S AVALON BLVD, 90003",6227,S,AVALON,BLVD,90003,,,"",674,D,6,South Los Angeles APC,9,Curren D. Price Jr.,86,COMMUNITY AND NEIGHBORS FOR NINTH DISTRICT UNITY (CANNDU),NEWTON
1-444762513,2/3/2017 8:24:09 AM,2/3/2017 8:24:09 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,GAPBH,1/25/2017 12:00:00 AM,,Y,"","1120 E 12TH ST, 90021",1120,E,12TH,ST,90021,,,"",634,F,7,Central APC,14,Jose Huizar,52,DOWNTOWN LOS ANGELES,NEWTON
1-448115085,2/7/2017 11:34:14 AM,2/7/2017 11:34:15 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,SLABT,1/17/2017 12:00:00 AM,,Y,"","4349 S CENTRAL AVE, 90011",4349,S,CENTRAL,AVE,90011,,,"",674,E,3,South Los Angeles APC,9,Curren D. Price Jr.,125,ZAPATA KING NC,NEWTON
1-438400961,1/29/2017 10:42:47 PM,2/3/2017 10:10:40 AM,SR Created,OCB,Graffiti Removal,Closed,Self Service,"",Y,SLABT,2/3/2017 10:10:39 AM,,Y,N,"NAOMI AVE AT 58TH ST, 90011",,"","","",90011,33.9901665732,-118.254709716,"(33.9901665732, -118.254709716)",674,E,5,South Los Angeles APC,9,Curren D. Price Jr.,110,CENTRAL ALAMEDA NC,NEWTON
1-434671201,1/25/2017 3:56:21 PM,2/2/2017 5:25:49 PM,SR Created,BOS,Bulky Items,Closed,Call,"",N,HB,2/2/2017 12:00:00 AM,,Y,N,"911 N ISLAND AVE, 90744",911,N,ISLAND,AVE,90744,33.7815855401,-118.266828558,"(33.7815855401, -118.266828558)",794,E,6,Harbor APC,15,Joe Buscaino,93,WILMINGTON NC,HARBOR
1-452139591,2/10/2017 1:40:57 PM,2/10/2017 1:40:57 PM,SR Created,OCB,Graffiti Removal,Open,Self Service,"",Y,GAPBH,,,Y,N,"VENICE BLVD AT WRIGHT ST, 90015",,"","","",90015,34.0387882793,-118.273159949,"(34.0387882793, -118.273159949)",634,C,6,Central APC,9,Curren D. Price Jr.,52,DOWNTOWN LOS ANGELES,CENTRAL
1-426878809,1/18/2017 9:40:34 AM,1/18/2017 9:40:34 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,KYCC,11/8/2016 12:00:00 AM,,Y,"","4017 W COUNTRY CLUB DR, 90019",4017,W,COUNTRY CLUB,DR,90019,,,"",633,G,4,Central APC,10,Herb J. Wesson Jr.,104,OLYMPIC PARK NC,OLYMPIC
1-412427241,1/3/2017 12:25:36 PM,1/3/2017 12:27:10 PM,SR Created,BOS,Bulky Items,Closed,Call,"",Y,WLA,1/7/2017 12:00:00 AM,,Y,N,"3633 S JASMINE AVE, 90034",3633,S,JASMINE,AVE,90034,34.0251521529,-118.404877406,"(34.0251521529, -118.404877406)",672,F,1,West Los Angeles APC,5,Paul Koretz,115,PALMS NC,PACIFIC
1-447472731,2/6/2017 4:49:52 PM,2/6/2017 4:49:52 PM,SR Created,BOS,Bulky Items,Open,Call,"",N,NC,2/17/2017 12:00:00 AM,,Y,N,"420 S HARVARD BLVD, 90020",420,S,HARVARD,BLVD,90020,34.0664525499,-118.303959401,"(34.0664525499, -118.303959401)",633,J,2,Central APC,10,Herb J. Wesson Jr.,55,WILSHIRE CENTER - KOREATOWN NC,OLYMPIC
1-423920531,1/15/2017 8:50:03 AM,1/24/2017 11:21:59 AM,SR Created,OCB,Graffiti Removal,Closed,Self Service,"",Y,PGS,1/18/2017 1:25:24 PM,,Y,N,"10618 W PICO BLVD, 90064",10618,W,PICO,BLVD,90064,34.0429475995,-118.42256045,"(34.0429475995, -118.42256045)",632,D,5,West Los Angeles APC,5,Paul Koretz,62,WESTSIDE NC,WEST LOS ANGELES
1-424385111,1/16/2017 9:16:21 AM,1/16/2017 11:06:26 AM,SR Created,ITA,Other,Closed,Self Service,"",Y,"",,,Y,N,"2530 N WORKMAN ST, 90031",2530,N,WORKMAN,ST,90031,34.0762419995,-118.214322826,"(34.0762419995, -118.214322826)",595,A,7,East Los Angeles APC,1,Gilbert Cedillo,47,LINCOLN HEIGHTS NC,HOLLENBECK
1-449999671,2/8/2017 4:39:43 PM,2/10/2017 5:52:21 PM,SR Created,OCB,Graffiti Removal,Closed,Self Service,"",N,WVA,2/10/2017 10:10:34 AM,,Y,N,"7120 N HAYVENHURST AVE, 91406",7120,N,HAYVENHURST,AVE,91406,34.1996896357,-118.492253695,"(34.1996896357, -118.492253695)",531,E,5,South Valley APC,6,Nury Martinez,19,LAKE BALBOA NC,WEST VALLEY
1-428190631,1/19/2017 9:54:35 AM,1/21/2017 11:16:55 AM,SR Created,OCB,Graffiti Removal,Closed,Call,"",N,LACC,1/21/2017 11:16:21 AM,,Y,N,"1868 W JEFFERSON BLVD, 90018",1868,W,JEFFERSON,BLVD,90018,34.0254589477,-118.310871394,"(34.0254589477, -118.310871394)",633,H,7,South Los Angeles APC,8,Marqueece Harris-Dawson,77,EMPOWERMENT CONGRESS NORTH AREA NDC,SOUTHWEST
1-446180631,2/5/2017 11:07:55 AM,2/6/2017 3:43:33 PM,SR Created,BOS,Metal/Household Appliances,Closed,Call,"",N,SLA,2/6/2017 12:00:00 AM,,Y,N,"4026 S WEST BLVD, 90008",4026,S,WEST,BLVD,90008,34.0119795165,-118.345249309,"(34.0119795165, -118.345249309)",673,D,2,South Los Angeles APC,10,Herb J. Wesson Jr.,79,EMPOWERMENT CONGRESS WEST AREA NDC,SOUTHWEST
1-437341150,1/28/2017 9:19:30 AM,1/28/2017 9:19:30 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,HBT,1/25/2017 12:00:00 AM,,Y,"","BEVERLY BLVD AT OXFORD AVE, 90004",,"","","",90004,,,"",593,H,7,Central APC,13,Mitch O'Farrell,55,WILSHIRE CENTER - KOREATOWN NC,OLYMPIC
1-435657463,1/26/2017 2:04:25 PM,2/1/2017 1:10:23 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Android,Y,HBT,1/27/2017 8:51:16 AM,,Y,N,"3824 W BEVERLY BLVD, 90004",3824,W,BEVERLY,BLVD,90004,34.0760997276,-118.292832715,"(34.0760997276, -118.292832715)",594,A,7,Central APC,13,Mitch O'Farrell,55,WILSHIRE CENTER - KOREATOWN NC,OLYMPIC
1-433952445,1/25/2017 10:09:11 AM,1/25/2017 11:06:08 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,SLABT,12/29/2016 12:00:00 AM,,Y,"","6413 S AVALON BLVD, 90003",,S,AVALON,BLVD,90003,,,"",674,D,6,South Los Angeles APC,9,Curren D. Price Jr.,86,COMMUNITY AND NEIGHBORS FOR NINTH DISTRICT UNITY (CANNDU),NEWTON
1-423330971,1/13/2017 3:36:14 PM,1/19/2017 5:23:23 PM,SR Created,BOS,Metal/Household Appliances,Closed,Call,"",N,HB,1/19/2017 12:00:00 AM,,Y,N,"20849 S DENKER AVE, 90501",20849,S,DENKER,AVE,90501,33.8403905356,-118.304135187,"(33.8403905356, -118.304135187)",763,J,5,Harbor APC,15,Joe Buscaino,91,HARBOR GATEWAY SOUTH NC,HARBOR
1-432196495,1/23/2017 5:16:06 PM,1/27/2017 2:52:31 PM,SR Created,BOS,Bulky Items,Closed,Mobile App,Android,Y,EV,1/27/2017 12:00:00 AM,,Y,"","12660 1/2 N SAN FERNANDO ROAD, 91342",12660,N,SAN FERNANDO,ROAD,91342,34.2995922617,-118.459514821,"(34.2995922617, -118.459514821)",481,H,5,North Valley APC,7,Vacant,5,SYLMAR NC,MISSION
1-416423631,1/6/2017 4:02:17 PM,1/9/2017 10:34:34 AM,SR Created,BOS,Bulky Items,Closed,Call,"",N,SLA,1/9/2017 12:00:00 AM,,Y,N,"2210 S RAYMOND AVE, 90007",2210,S,RAYMOND,AVE,90007,34.0359177879,-118.297450621,"(34.0359177879, -118.297450621)",633,J,6,South Los Angeles APC,8,Marqueece Harris-Dawson,77,EMPOWERMENT CONGRESS NORTH AREA NDC,SOUTHWEST
1-447316203,2/6/2017 3:17:01 PM,2/6/2017 3:17:01 PM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,CCAC,2/6/2017 12:00:00 AM,,Y,"","1127 W WASHINGTON BLVD, 90015",1127,W,WASHINGTON,BLVD,90015,,,"",634,B,6,Central APC,1,Gilbert Cedillo,76,PICO UNION NC,RAMPART
1-438006731,1/29/2017 10:37:27 AM,2/3/2017 1:17:48 AM,SR Created,BOS,Metal/Household Appliances,Closed,Self Service,"",N,WV,2/2/2017 12:00:00 AM,,Y,N,"5016 N GAVIOTA AVE, 91436",5016,N,GAVIOTA,AVE,91436,34.1600471036,-118.481022381,"(34.1600471036, -118.481022381)",561,F,3,South Valley APC,5,Paul Koretz,18,ENCINO NC,WEST VALLEY
1-438042940,1/29/2017 11:19:44 AM,1/31/2017 3:48:07 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Android,N,CCAC,1/31/2017 3:48:12 PM,,Y,N,"3224 W BEVERLY BLVD, 90057",3224,W,BEVERLY,BLVD,90057,34.0724405608,-118.284054987,"(34.0724405608, -118.284054987)",634,B,1,Central APC,13,Mitch O'Farrell,53,RAMPART VILLAGE NC,RAMPART
1-442938631,2/1/2017 3:43:00 PM,2/2/2017 6:53:25 PM,SR Created,BOS,Metal/Household Appliances,Closed,Call,"",Y,HB,2/2/2017 12:00:00 AM,,Y,N,"713 W D ST, 90744",713,W,D,ST,90744,33.7738318595,-118.270461792,"(33.7738318595, -118.270461792)",794,D,7,Harbor APC,15,Joe Buscaino,93,WILMINGTON NC,HARBOR
